Rk,Player,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,school,player_link,player_id,season
2,Dave Backus,10,3,5,60,21,4.2,4.2,0,0,95.3,air-force,/cfb/players/dave-backus-1,dave-backus-1,1963
1,Tim Murphy,10,94,160,58.8,1154,7.2,5.8,7,8,123.8,air-force,/cfb/players/tim-murphy-3,tim-murphy-3,1964
2,Paul Stein,10,10,22,45.5,133,6,0.8,1,3,84,air-force,/cfb/players/paul-stein-1,paul-stein-1,1964
3,Howard Burkart,10,1,9,11.1,7,0.8,0.8,0,0,17.6,air-force,/cfb/players/howard-burkart-1,howard-burkart-1,1964
4,Paul Wargo,10,4,7,57.1,50,7.1,-5.7,0,2,60,air-force,/cfb/players/paul-wargo-1,paul-wargo-1,1964
1,Paul Stein,10,114,225,50.7,1446,6.4,4.8,9,12,107.2,air-force,/cfb/players/paul-stein-1,paul-stein-1,1965
2,Sonny Litz,10,23,51,45.1,288,5.6,2.9,2,4,89.8,air-force,/cfb/players/sonny-litz-1,sonny-litz-1,1965
3,Carl Janssen,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/carl-janssen-1,carl-janssen-1,1965
4,Tom Zyroll,10,0,1,0,0,0,-45,0,1,-200,air-force,/cfb/players/tom-zyroll-1,tom-zyroll-1,1965
1,Steve Turner,10,64,118,54.2,776,6.6,2.9,3,11,99.2,air-force,/cfb/players/steve-turner-1,steve-turner-1,1966
2,Sonny Litz,10,59,118,50,738,6.3,2.7,4,11,95.1,air-force,/cfb/players/sonny-litz-1,sonny-litz-1,1966
3,Craig Baer,10,15,25,60,215,8.6,6.6,2,2,142.6,air-force,/cfb/players/craig-baer-1,craig-baer-1,1966
4,Jack Hannig,10,0,2,0,0,0,0,0,0,0,air-force,/cfb/players/jack-hannig-1,jack-hannig-1,1966
5,Jim Hogarty,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/jim-hogarty-1,jim-hogarty-1,1966
6,Jim Schultz,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/jim-schultz-2,jim-schultz-2,1966
