cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
neil-odonnell-1,ODonNe00,35,16.986783317707783,charlie-whitehurst-1,kirk-cousins-1,chad-pennington-1
nick-foles-1,FoleNi00,23,11.549650653726241,matt-schaub-1,brock-huard-1,dan-orlovsky-1
patrick-mahomes-1,MahoPa00,57,24.319555471656173,alex-smith-3,deshaun-watson-1,seneca-wallace-1
patrick-ramsey-1,RamsPa00,14,11.69070003543472,teddy-bridgewater-1,brock-huard-1,tj-rubley-1
paul-justin-1,JustPa00,8,9.688605454758344,kelly-stouffer-1,marc-bulger-1,anthony-dilweg-1
paxton-lynch-1,LyncPa00,2,25.955026825668536,josh-allen-7,blake-bortles-1,ben-roethlisberger-1
peter-tom-willis-1,WillPe00,4,10.64183885893127,mark-vlasic-1,moses-moreno-1,tom-savage-1
peyton-manning-1,MannPe00,61,18.54118633328814,ryan-finley-1,jesse-palmer-1,todd-collins-1
philip-rivers-1,RivePh00,31,20.060813001908947,matt-barkley-1,matt-ryan-1,randy-fasani-1
quincy-carter-1,CartQu00,17,19.52658690561125,tony-banks-1,christian-ponder-1,jason-campbell-1
randy-fasani-1,FasaRa00,1,19.73088632042555,nathan-peterman-1,matt-flynn-1,mitch-trubisky-1
rex-grossman-1,GrosRe00,13,16.70009875855348,eli-manning-1,matt-leinart-1,matt-barkley-1
rick-mirer-1,MireRi00,30,20.73253298731515,jim-harbaugh-1,aaron-brooks-1,shaun-king-1
rob-johnson-1,JohnRo00,7,15.22480662981417,moses-moreno-1,glenn-foley-1,jimmy-clausen-1
robert-griffin-iii-1,GrifRo01,35,23.221994289055814,brett-hundley-1,ty-detmer-1,deshaun-watson-1
rodney-peete-1,PeetRo00,30,11.820011321469849,dave-ragone-1,mason-rudolph-1,kurt-kittner-1
russell-wilson-1,WilsRu00,71,19.760483685890556,shaun-king-1,kevin-hogan-2,kevin-kolb-1
ryan-finley-1,FinlRy00,2,14.340637126943992,charlie-whitehurst-1,ryan-mallett-1,jason-campbell-1
ryan-leaf-1,LeafRy00,1,21.053350809117898,peyton-manning-1,drew-bledsoe-1,jesse-palmer-1
ryan-mallett-1,MallRy00,6,10.988699820493528,gus-frerotte-1,matt-schaub-1,chris-redman-1
ryan-tannehill-1,TannRy00,45,17.267057193087602,tony-banks-1,akili-smith-1,ryan-finley-1
sage-rosenfels-1,RoseSa00,2,20.871482512141096,donald-hollas-1,aaron-brooks-1,bruce-gradkowski-1
sam-bradford-1,BradSa00,28,17.4983196282041,tony-graziani-1,mark-sanchez-1,matt-leinart-1
sam-darnold-1,DarnSa00,23,19.270356966922282,matthew-stafford-1,jameis-winston-1,aaron-rodgers-1
sammy-garza-1,GarzSa20,1,14.940260729646814,kevin-sweeney-1,rob-johnson-1,mike-mcmahon-1
scott-mitchell-2,MitcSc00,11,15.511075886944406,ben-roethlisberger-1,matt-barkley-1,kerry-collins-1
scott-secules-1,SecuSc00,5,23.645787276669328,aaron-brooks-1,jim-harbaugh-1,matt-ryan-1
scott-zolak-1,ZolaSc00,3,10.35672760578927,jim-miller-7,mike-glennon-1,scott-zolak-1
sean-mannion-1,MannSe00,1,10.226890411156003,scott-zolak-1,kelly-stouffer-1,marc-bulger-1
seneca-wallace-1,WallSe00,10,23.080293710423227,dennis-dixon-1,don-majkowski-1,tony-banks-1
shaun-king-1,KingSh00,18,25.89115838723498,marques-tuiasosopo-1,cade-mcnown-1,dak-prescott-1
shawn-moore-1,MoorSh00,1,23.022846460954483,dak-prescott-1,russell-wilson-1,rick-mirer-1
spergon-wynn-1,WynnSp00,2,14.142856520558306,stoney-case-1,joe-flacco-1,gus-frerotte-1
stephen-mcgee-1,McGeSt00,2,18.196736669708613,jacoby-brissett-2,marques-tuiasosopo-1,dak-prescott-1
steve-beuerlein-1,BeueSt00,15,11.536210662363514,chris-chandler-1,tim-couch-1,david-fales-1
steve-matthews-1,MattSt00,1,8.5801679041931,will-grier-1,dan-mcgwire-1,mark-vlasic-1
steve-stenstrom-1,StenSt00,6,10.536395810397076,tim-tebow-1,erik-wilhelm-1,paul-justin-1
stoney-case-1,CaseSt00,4,21.171717947975534,shawn-moore-1,shaun-king-1,andy-dalton-1
tarvaris-jackson-1,JackTa00,13,10.266845951826626,joe-flacco-1,scott-zolak-1,vinny-testaverde-1
teddy-bridgewater-1,BridTe00,23,18.42301721993652,tommy-hodson-1,jared-goff-1,brett-favre-1
tim-couch-1,CoucTi00,29,9.836877864768878,dan-orlovsky-1,jake-fromm-1,patrick-ramsey-1
tim-rattay-1,RattTi00,4,9.641935194181336,david-fales-1,brodie-croyle-1,marc-bulger-1
tim-tebow-1,TeboTi00,12,25.754311706488412,colin-kaepernick-1,robert-griffin-iii-1,brett-hundley-1
tj-rubley-1,RublTJ00,5,11.293947679003416,luke-falk-1,erik-wilhelm-1,chad-henne-1
todd-collins-1,CollTo00,9,10.12592733523518,brock-huard-1,chad-henne-1,greg-mcelroy-1
todd-marinovich-1,MariTo00,3,19.828504526638216,brian-griese-1,peyton-manning-1,chris-miller-4
tom-brady-1,BradTo00,36,8.848583694282192,billy-joe-tolliver-1,kent-graham-1,paul-justin-1
tom-savage-1,SavaTo00,3,10.693201397998134,anthony-dilweg-1,mike-glennon-1,chad-henne-1
tommy-hodson-1,HodsTo00,4,12.772695789782171,moses-moreno-1,glenn-foley-1,eric-zeier-1
tommy-maddox-1,MaddTo00,2,21.008247135016003,teddy-bridgewater-1,brett-favre-1,trent-green-1
tony-banks-1,BankTo00,33,16.346877854273025,eli-manning-1,matt-schaub-1,rex-grossman-1
tony-graziani-1,GrazTo00,3,20.103251610590547,quincy-carter-1,ryan-tannehill-1,aaron-brooks-1
trent-dilfer-1,DilfTr00,27,24.386459763392136,sam-bradford-1,mark-sanchez-1,peyton-manning-1
trent-edwards-1,EdwaTr01,17,17.81237536341308,kellen-clemens-1,jason-campbell-1,matt-hasselbeck-1
trent-green-1,GreeTr00,20,20.55665301513604,dak-prescott-1,aaron-brooks-1,jim-harbaugh-1
troy-aikman-1,AikmTr00,38,16.699072371954692,geno-smith-1,tommy-maddox-1,jason-campbell-1
troy-smith-1,SmitTr02,6,18.909098122362447,dak-prescott-1,kevin-hogan-2,ej-manuel-1
ty-detmer-1,DetmTy00,15,14.44352926661586,kevin-sweeney-1,moses-moreno-1,tommy-hodson-1
tyrod-taylor-1,TaylTy00,1,24.204091267411084,robert-griffin-iii-1,brett-hundley-1,jake-locker-1
vince-young-1,YounVi00,27,24.910577461544815,bucky-richardson-1,colin-kaepernick-1,dak-prescott-1
vinny-testaverde-1,TestVi00,28,17.56941653884053,peyton-manning-1,matt-leinart-1,ryan-leaf-1
will-furrer-1,FurrWi00,1,9.169543433656454,kirk-cousins-1,brodie-croyle-1,anthony-dilweg-1
will-grier-1,GrieWi00,1,15.64501436711784,akili-smith-1,chad-pennington-1,david-carr-1
zach-mettenberger-1,MettZa00,1,11.57265099422729,steve-matthews-1,andrew-walter-1,glenn-foley-1
