cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
cade-mcnown-1,McNoCa00, 8.000000,1999, 12,22,73,208,4.760000,33.50000,108.0000,4.280000,17.02411,7.126014,47,1250,313, 12.51829787, 5.79361702,135.14893, 1829.833840, 17.69869221,  8.57837331, -4.35683081, -676.419194,  3.511452125,16.9988932
cam-newton-1,NewtCa00,84.000000,2011,  1,22,78,260,4.560000,35.00000,126.0000,4.180000,21.86329,6.920000,20, 292,285, 20.24550000, 6.15200000,149.56438,  807.092711, 16.35084782, 14.75239614, -2.24541015,  315.455609, 10.902434658,45.7203525
cardale-jones-1,JoneCa01, 0.000000,2016,139,23,77,250,4.810000,36.00000,120.3254,4.397583,20.93268,7.280121,23, 269,136, 19.94130435, 4.09086957,140.00394,  367.206705,  7.24108412,  0.98920650, -0.61640461, -140.293445, -3.329660326,22.3838237
carson-palmer-1,PalmCa00,52.000000,2003,  1,23,77,230,4.650000,34.02558,116.7885,4.293001,19.07145,7.143054,53,1569,255, 12.32641509, 6.45698113,107.58744,  816.390231, 64.69999961, -2.20912807, -6.04662355,-1225.190079, -1.577346907,19.9601529
cary-conklin-1,ConkCa00, 1.000000,1990, 86,22,76,220,4.960000,26.50000,109.0000,4.560000,18.14084,7.492989,31, 747,164, 12.34161290, 6.74516129,111.68871, -379.352433,  1.39973018,  0.03022474,  2.32294849, -559.349698, -1.305372080, 7.4967355
casey-weldon-1,WeldCa00, 1.000000,1992,102,23,73,206,4.830000,32.50000,102.0000,4.060000,16.83799,6.837677,45, 545, 72, 19.66355556, 4.68288889,152.11070,  814.344419, 31.15399516, 18.31278049, -8.19743200, -270.286225, -1.733141457, 4.6631180
chad-henne-1,HennCh01,21.000000,2008, 57,23,75,228,4.920000,25.50000,106.0000,4.400000,18.88533,7.170000,47,1387,180, 13.21021277, 5.39382979,111.42258,  -60.401875, 22.66494242, 19.28095169, -8.59269587,-1063.493801, -4.415543031,10.9110423
chad-pennington-1,PennCh01,29.000000,2000, 18,24,75,225,4.810000,33.50000,111.0000,4.160000,18.60615,7.120000,38,1334,168,  5.65131579,-8.91763158,135.06221, 1924.311314,122.89027006, 42.96168520,-18.05850591, -603.455179, -2.629299767,18.9888313
chandler-harnish-1,HarnCh00, 0.000000,2012,253,24,74,219,4.680000,32.50000,112.0000,4.150000,18.04778,6.780000,47,1110,538,  1.36510638,-6.07340426,120.17233,  980.348548, 23.10851171, 11.28043567, -7.56928345,  611.706032, -0.311706170,12.6610257
charlie-batch-1,BatcCh00,31.000000,1998, 60,23,74,220,4.890000,33.50000,118.0000,4.110000,18.14084,6.903209,32, 998,181, -9.76156250,-8.24312500,112.63578,  563.606825, 34.98260154,  5.88824609, -5.65147606, -606.004447, -2.223261775, 6.8856460
charlie-frye-1,FryeCh00, 8.000000,2005, 67,24,76,217,4.790000,33.00000,113.0000,4.080000,17.86166,6.940000,46,1436,375, -8.35000000,-6.11000000,106.62618,  899.372459,104.34030109, -5.39351908,-16.62310739,-1116.640777,  3.356829166,11.3709367
