pos,year,age,av,player_id,g,gs
QB,1991*,29,17,RypiMa00,16,16
QB,1992,30,12,RypiMa00,16,16
QB,1993,31,1,RypiMa00,12,10
QB,1994,32,2,RypiMa00,6,3
QB,1995,33,3,RypiMa00,11,3
QB,1996,34,0,RypiMa00,1,0
QB,1997,35,1,RypiMa00,5,0
QB,2001,39,0,RypiMa00,4,0
QB,1989,27,0,GelbSt00,1,0
QB,1991,29,2,GelbSt00,6,3
QB,1992,30,0,GelbSt00,10,8
QB,1993,31,0,GelbSt00,1,0
QB,1994,32,0,GelbSt00,1,0
QB,1996,34,0,GelbSt00,1,1
QB,1987,24,1,NorrDa20,2,2
QB,1987,24,1,McClBr20,1,1
QB,1987,24,0,BradSt20,1,1
QB,1987,24,4,TestVi00,6,4
QB,1988,25,6,TestVi00,15,15
QB,1989,26,9,TestVi00,14,14
QB,1990,27,9,TestVi00,14,13
QB,1991,28,4,TestVi00,13,12
QB,1992,29,9,TestVi00,14,14
QB,1993,30,7,TestVi00,10,6
QB,1994,31,9,TestVi00,14,13
QB,1995,32,9,TestVi00,13,12
QB,1996*,33,16,TestVi00,16,16
QB,1997,34,8,TestVi00,13,13
QB,1998*,35,14,TestVi00,14,13
QB,1999,36,0,TestVi00,1,1
QB,2000,37,9,TestVi00,16,16
QB,2001,38,10,TestVi00,16,16
QB,2002,39,2,TestVi00,5,4
QB,2003,40,5,TestVi00,7,7
QB,2004,41,9,TestVi00,16,15
QB,2005,42,2,TestVi00,6,4
QB,2006,43,0,TestVi00,3,0
QB,2007,44,0,TestVi00,7,6
QB,1988,24,4,StouKe00,8,6
QB,1989,25,1,StouKe00,3,2
QB,1991,27,0,StouKe00,2,1
QB,1992,28,-3,StouKe00,9,7
QB,1987,22,1,MillCh00,3,2
QB,1988,23,6,MillCh00,13,13
QB,1989,24,10,MillCh00,15,15
QB,1990,25,9,MillCh00,12,12
QB,1991*,26,11,MillCh00,15,14
QB,1992,27,8,MillCh00,8,8
QB,1993,28,1,MillCh00,3,2
QB,1994,29,6,MillCh00,13,10
QB,1995,30,6,MillCh00,13,13
QB,1999,34,2,MillCh00,3,3
QB,1987,24,0,HarbJi00,6,0
QB,1988,25,2,HarbJi00,10,2
QB,1989,26,5,HarbJi00,12,5
QB,1990,27,10,HarbJi00,14,14
QB,1991,28,13,HarbJi00,16,16
QB,1992,29,10,HarbJi00,16,13
QB,1993,30,8,HarbJi00,15,15
QB,1994,31,7,HarbJi00,12,9
QB,1995*,32,12,HarbJi00,15,12
QB,1996,33,10,HarbJi00,14,14
QB,1997,34,8,HarbJi00,12,11
QB,1998,35,5,HarbJi00,14,12
QB,1999,36,8,HarbJi00,14,12
QB,2000,37,4,HarbJi00,7,5
QB,1988,25,3,CarlCo00,6,5
QB,1989,26,0,CarlCo00,6,0
QB,1990,27,2,CarlCo00,6,1
QB,1991,28,0,CarlCo00,3,0
QB,1992,29,7,CarlCo00,11,6
QB,1993,30,2,CarlCo00,8,2
QB,1994,31,1,CarlCo00,5,5
QB,1987,24,0,VlasMa00,1,0
QB,1988,25,1,VlasMa00,2,2
QB,1990,27,1,VlasMa00,6,1
QB,1991,28,1,VlasMa00,6,1
QB,1987,22,0,GannRi00,4,0
QB,1988,23,0,GannRi00,3,0
QB,1989,24,0,GannRi00,0,0
QB,1990,25,8,GannRi00,14,12
QB,1991,26,10,GannRi00,15,11
QB,1992,27,8,GannRi00,12,12
QB,1993,28,2,GannRi00,8,4
QB,1995,30,0,GannRi00,2,0
QB,1996,31,2,GannRi00,4,3
QB,1997,32,5,GannRi00,9,6
QB,1998,33,9,GannRi00,12,10
QB,1999*,34,16,GannRi00,16,16
