pos,av,g,gs,player_id
,4,25,5,ShehRa00
RB,4,25,5,ShehRa00
RB,20,56,28,PittMi00
,3,14,2,BankTa00
RB,3,14,2,BankTa00
,9,44,4,LintJo00
RB,9,44,4,LintJo00
,2,13,5,PerrWi00
RB,2,13,5,PerrWi00
,1,22,1,HowaCh00
RB,1,22,1,HowaCh00
,0,35,NA,ShawHa00
RB,0,35,0,ShawHa00
RB,7,45,6,FuamCh00
FB,10,59,38,BeasFr00
,6,21,9,OxenKe00
RB,6,21,9,OxenKe00
,0,6,NA,WatsEd00
RB,0,6,0,WatsEd00
RB,57,52,52,JameEd00
RB,49,54,54,WillRi00
RB,22,57,12,FaulKe00
,2,13,5,MontJo00
RB,2,13,5,MontJo00
RB,4,56,6,ClouMi00
,5,20,10,FazaJe00
RB,5,20,10,FazaJe00
RB,14,53,23,BrysSh00
RB,14,50,5,ZereAm00
,4,20,NA,IrviSe00
RB,4,20,0,IrviSe00
,1,16,2,BennSe00
RB,1,16,2,BennSe00
RB,14,35,15,GaryOl00
,3,8,6,CollCe00
RB,3,8,6,CollCe00
FB,3,45,9,WillNi00
FB,4,52,2,JackTe00
,2,19,NA,ParkDe00
RB,2,19,0,ParkDe00
RB,3,34,1,DensAu00
Missed season - Injured (knee),NA,NA,NA,LewiJa00
RB,41,48,44,LewiJa00
RB,17,55,18,JoneTh00
RB,12,62,14,DaynRo00
RB,39,64,44,AlexSh00
RB,11,46,13,CaniTr00
,8,46,22,PrenTr00
RB,4,30,11,PrenTr00
RB,13,56,22,DrouRe00
,3,26,3,ChapDo00
RB,3,26,3,ChapDo00
,1,17,2,MoreFr00
RB,1,14,1,MoreFr00
RB,2,43,0,SmitPa00
,4,42,1,WileMi00
RB,4,42,1,WileMi00
RB,6,53,9,MorrSa00
FB,6,27,17,AndeMi00
RB,20,32,19,AndeMi00
,2,32,3,GreeMi00
RB,2,32,3,GreeMi00
FB,2,49,3,PassPa00
,0,16,NA,StitSh00
RB,0,15,0,StitSh00
,2,14,1,MealRo00
RB,2,14,1,MealRo00
RB,62,63,63,TomlLa00
RB,44,61,49,McAlDe00
RB,28,48,43,BennMi00
RB,23,51,37,ThomAn01
RB,13,62,0,JordLa00
RB,29,54,48,HenrTr00
RB,9,44,16,JackJa00
RB,31,60,18,BarlKe00
FB,2,61,1,EvanHe00
RB,10,59,4,MinoTr00
RB,20,38,21,JohnRu00
RB,18,60,14,BuckCo00
RB,10,47,6,BlayDe00
RB,2,28,3,BrowDe02
RB,15,46,30,GreeWi01
RB,26,47,24,FostDe00
RB,51,60,56,PortCl00
RB,8,58,3,MorrMa00
RB,13,48,2,BettLa00
RB,9,40,15,GordLa00
RB,34,55,35,WestBr00
RB,11,60,18,WellJo00
RB,10,39,2,DaveNa00
,0,32,13,BaxtJa00
FB,0,32,13,BaxtJa00
RB,8,53,0,HaynVe00
RB,4,45,1,PeteAd00
RB,16,62,8,TaylCh01
,1,6,2,HenrLe20
RB,1,6,2,HenrLe20
FB,6,60,3,CartRo01
RB,36,61,55,McGaWi00
RB,42,48,28,JohnLa00
RB,3,33,0,SmitMu00
RB,20,42,28,BrowCh03
FB,2,36,1,FargJu00
RB,3,16,6,FargJu00
RB,8,40,7,PinnAr00
,35,40,36,DaviDo01
RB,35,40,36,DaviDo01
,14,26,9,SmitOn00
Missed season - Violation of league substance abuse policy,NA,NA,NA,SmitOn00
RB,14,26,9,SmitOn00
,6,16,5,GrifQu00
RB,6,16,5,GrifQu00
RB,8,29,3,SuggLe00
RB,5,43,2,ToefLa00
,4,25,4,ForsBr00
RB,2,16,2,ForsBr00
FB,1,32,0,PinnAn00
RB,42,57,46,JackSt00
RB,9,35,9,PerrCh00
RB,28,53,49,JoneKe02
RB,21,47,19,BellTa00
RB,31,53,51,JoneJu01
FB,8,42,31,JoneGr01
RB,1,16,3,JoneGr01
RB,19,54,11,MoorMe00
