pos,av,g,gs,player_id
TE,0,61,8,HapePa00
TE,4,43,18,JoneDa00
TE,4,62,8,BrouLu00
,0,1,NA,SavoNi20
TE,0,1,0,SavoNi20
,1,13,NA,MannBr00
WR,1,10,0,MannBr00
TE,4,55,12,MiliIt00
LS,0,41,5,PerrEd00
TE,2,14,5,PerrEd00
WR,6,33,13,ByrdIs00
TE,2,34,8,MangKr00
WR,8,48,4,HatcMa00
WR,18,47,43,DysoKe00
WR,61,64,59,MossRa00
WR,1,14,2,NashMa00
WR,17,46,30,PathJe00
WR,26,56,37,GreeJa00
TE,9,48,32,CleeCa00
WR,8,39,15,JohnPa00
TE,11,53,41,AlexSt00
WR,22,44,28,CrowGe00
WR,8,45,9,SimmTo00
TE,2,63,31,RutlRo00
WR,11,58,14,JureJo00
WR,6,37,25,RickMi00
,0,4,NA,AlfoBr00
WR,0,4,0,AlfoBr00
WR,3,35,0,GermJa00
WR,28,64,45,WardHi00
,3,37,28,MayeAl00
TE,3,37,28,MayeAl00
WR,26,56,9,HakiAz00
TE,8,61,50,WillRo01
WR,18,51,31,HayeDo00
WR,19,48,11,DwigTi00
TE,10,49,37,HardTe00
TE,3,47,8,BrigJe00
,0,18,NA,SpenBl00
TE,0,18,0,SpenBl00
WR,12,42,10,BradCo00
,1,9,NA,ColeFr00
WR,1,9,0,ColeFr00
,6,31,11,TuckJa00
WR,6,31,11,TuckJa00
WR,23,63,11,ShawBo00
,1,14,NA,BrazCh00
WR,1,14,0,BrazCh00
WR,3,57,4,WhitAl00
,0,2,NA,McCuAn00
WR,0,2,0,McCuAn00
,2,6,3,ThelRy00
WR,2,6,3,ThelRy00
,0,11,3,MonrRo00
TE,0,9,3,MonrRo00
,1,12,NA,LoudKa00
WR,1,12,0,LoudKa00
WR,53,64,55,HoltTo00
WR,31,56,47,BostDa00
WR,13,60,7,EdwaTr00
WR,28,64,63,JohnKe01
TE,7,62,47,KellRe00
FB,4,38,26,KleiJi00
TE,4,14,12,KleiJi00
WR,29,64,52,PricPe00
TE,1,58,19,HeidSt00
WR,8,37,13,BateDW00
WR,27,56,43,BookMa00
TE,3,60,34,CampDa00
WR,1,19,0,BailKa00
,1,34,NA,McGrTr00
WR,1,34,0,McGrTr00
WR,2,52,0,DougDa00
WR,8,33,11,StokBr00
,2,38,4,ParkLa00
WR,2,38,4,ParkLa00
WR,6,34,3,McGaWa00
,2,30,6,CollBo00
TE,2,30,6,CollBo00
,4,42,9,BrowNa00
WR,4,42,9,BrowNa00
TE,2,52,15,TumaJe00
WR,5,49,10,ChiaDa00
WR,1,8,1,BakeEu00
WR,0,16,0,JohnMa00
WR,16,49,18,StreTa00
TE,10,52,6,ClarDe00
LS,0,48,1,DearJa00
TE,0,2,0,DearJa00
WR,11,40,6,JenkMa00
,0,1,NA,SmitTr00
WR,0,1,0,SmitTr00
TE,6,64,21,WeavJe00
WR,16,51,20,DrivDo00
TE,8,54,13,MillBi00
,1,46,9,LuckMi00
TE,1,46,9,LuckMi00
,0,45,13,JackSh00
TE,0,45,13,JackSh00
TE,2,49,7,SwifJu00
,1,8,NA,McDoDa00
WR,1,8,0,McDoDa00
WR,26,62,54,WarrPe00
WR,33,60,56,BurrPl00
WR,22,57,52,TaylTr01
TE,13,64,57,FranBu00
,6,15,14,MorrSy00
WR,6,15,14,MorrSy00
TE,10,62,56,BechAn00
WR,20,54,21,NortDe00
WR,20,62,46,PinkTo00
WR,12,53,16,PortJe00
,6,46,13,DugaRo00
WR,6,46,13,DugaRo00
TE,10,60,44,KinnEr00
WR,15,60,31,WhitDe00
,6,37,3,DixoRo00
WR,6,37,3,DixoRo00
WR,38,61,51,ColeLa00
,5,30,4,DawsJa00
WR,5,30,4,DawsJa00
WR,35,61,54,JackDa00
TE,2,39,11,LymaDu00
,0,3,NA,ScotGa00
WR,0,3,0,ScotGa00
,5,33,4,FarmDa00
WR,5,33,4,FarmDa00
TE,3,38,18,SheaAa00
,7,34,7,GaylTr00
WR,7,34,7,GaylTr00
,0,9,NA,StacDa00
TE,0,9,0,StacDa00
,1,9,1,HayeWi00
WR,1,9,1,HayeWi00
,1,26,6,WhalJa00
TE,1,26,6,WhalJa00
,0,5,NA,TantJa00
TE,0,5,0,TantJa00
WR,4,30,4,WillJa01
,0,3,NA,HaddDr00
WR,0,2,0,HaddDr00
WR,4,31,6,LeexCh00
WR,12,53,29,TerrDa00
WR,29,57,52,RobiKo00
WR,25,64,61,GardRo00
WR,26,51,29,MossSa00
WR,14,63,17,MitcFr00
WR,35,61,48,WaynRe00
TE,19,50,43,HeapTo00
WR,20,63,52,MorgQu00
TE,22,62,51,CrumAl00
WR,36,60,47,JohnCh01
WR,13,45,18,FergRo00
WR,33,62,53,ChamCh00
WR,25,47,26,SmitSt01
,5,15,11,MinnMa00
WR,5,15,11,MinnMa00
TE,3,52,13,MeieSh00
,1,7,NA,WynnMi00
WR,1,4,0,WynnMi00
